img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-41.42321	brain_coral	maze	9.34965	densenet-121	densenet-121
ILSVRC2012_val_00000003.png	Shetland_sheepdog	-32.75907	Border_terrier	soccer_ball	9.30663	densenet-121	densenet-121
ILSVRC2012_val_00000006.png	garter_snake	-32.23689	walking_stick	plow	9.35115	densenet-121	densenet-121
ILSVRC2012_val_00000007.png	porcupine	-32.95956	lacewing	spindle	9.72480	densenet-121	densenet-121
ILSVRC2012_val_00000010.png	Angora	-35.48752	llama	mask	9.99517	densenet-121	densenet-121
ILSVRC2012_val_00000011.png	brain_coral	-35.29214	brain_coral	maze	9.26221	densenet-121	densenet-121
ILSVRC2012_val_00000012.png	cougar	-32.94978	Chihuahua	bonnet	9.56011	densenet-121	densenet-121
ILSVRC2012_val_00000013.png	guenon	-32.39500	Siamese_cat	mask	9.75752	densenet-121	densenet-121
ILSVRC2012_val_00000016.png	grey_whale	-34.33666	bolete	megalith	9.91957	densenet-121	densenet-121
ILSVRC2012_val_00000017.png	sea_anemone	-35.74901	dragonfly	oboe	9.59420	densenet-121	densenet-121
ILSVRC2012_val_00000018.png	vulture	-33.89384	dragonfly	broom	9.63080	densenet-121	densenet-121
ILSVRC2012_val_00000021.png	porcupine	-37.00835	ballplayer	microphone	9.92721	densenet-121	densenet-121
ILSVRC2012_val_00000022.png	Ibizan_hound	-38.77057	Eskimo_dog	dogsled	9.87029	densenet-121	densenet-121
ILSVRC2012_val_00000025.png	vulture	-34.45492	sorrel	worm_fence	9.76449	densenet-121	densenet-121
ILSVRC2012_val_00000027.png	white_wolf	-38.59275	brain_coral	maze	9.31170	densenet-121	densenet-121
ILSVRC2012_val_00000028.png	English_foxhound	-36.97781	ram	bath_towel	9.19407	densenet-121	densenet-121
ILSVRC2012_val_00000029.png	green_snake	-37.21798	ground_beetle	cucumber	9.55511	densenet-121	densenet-121
ILSVRC2012_val_00000031.png	cabbage_butterfly	-33.80634	African_chameleon	bonnet	9.40328	densenet-121	densenet-121
ILSVRC2012_val_00000033.png	sea_lion	-32.78973	lacewing	strainer	9.70325	densenet-121	densenet-121
ILSVRC2012_val_00000034.png	ballplayer	-32.71712	hammerhead	aircraft_carrier	9.99140	densenet-121	densenet-121
ILSVRC2012_val_00000037.png	tailed_frog	-37.01990	standard_poodle	maraca	9.92738	densenet-121	densenet-121
ILSVRC2012_val_00000040.png	garden_spider	-33.73601	agaric	hip	9.91465	densenet-121	densenet-121
ILSVRC2012_val_00000043.png	spoonbill	-34.35574	Italian_greyhound	tricycle	9.62418	densenet-121	densenet-121
ILSVRC2012_val_00000044.png	standard_schnauzer	-35.41616	hyena	digital_clock	9.74727	densenet-121	densenet-121
ILSVRC2012_val_00000045.png	Newfoundland	-35.78014	triceratops	poncho	9.62128	densenet-121	densenet-121
