img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-6.81704	nematode	maze	9.94436	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000003.png	Shetland_sheepdog	6.79730	Shetland_sheepdog	maze	9.96526	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000006.png	garter_snake	-9.49123	nematode	maze	9.99990	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000007.png	porcupine	0.28108	porcupine	barrel	9.99735	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000010.png	Angora	-4.04003	hog	bagel	9.98677	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000011.png	brain_coral	-0.86468	brain_coral	jackfruit	9.99546	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000012.png	cougar	11.25805	cougar	cowboy_hat	9.99746	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000013.png	guenon	3.43727	guenon	mask	9.99004	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000016.png	grey_whale	-3.00752	grey_whale	maze	9.98253	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000017.png	sea_anemone	1.72866	goldfish	volcano	9.95132	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000018.png	vulture	-8.67456	ballplayer	airship	9.97956	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000021.png	porcupine	-2.91600	porcupine	chainlink_fence	9.97617	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000022.png	Ibizan_hound	1.67219	whippet	dogsled	9.99209	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000025.png	vulture	-3.05830	European_gallinule	plow	9.99999	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000027.png	white_wolf	13.35294	white_wolf	dogsled	10.00000	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000028.png	English_foxhound	0.80653	Walker_hound	tennis_ball	9.99920	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000029.png	green_snake	7.90530	vine_snake	cucumber	9.99110	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000031.png	cabbage_butterfly	10.80710	cabbage_butterfly	bonnet	9.98822	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000033.png	sea_lion	-7.33718	terrapin	manhole_cover	9.99123	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000034.png	ballplayer	-7.50551	ballplayer	shopping_cart	9.99526	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000037.png	tailed_frog	-11.95900	bulbul	assault_rifle	9.97246	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000040.png	garden_spider	4.07594	garden_spider	spider_web	9.99369	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000043.png	spoonbill	6.07755	spoonbill	barrow	9.99936	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000044.png	standard_schnauzer	12.92391	standard_schnauzer	dishwasher	9.97904	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000045.png	Newfoundland	-10.13616	briard	mitten	9.99275	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000048.png	English_foxhound	-1.66175	hog	jigsaw_puzzle	9.96608	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000050.png	sturgeon	-2.55960	barracouta	vestment	9.98789	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000051.png	bee_eater	6.68500	bee_eater	warplane	9.99840	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000052.png	axolotl	12.99141	axolotl	coral_reef	9.88232	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000055.png	polecat	-0.48915	hamster	teddy	9.99939	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000057.png	Pomeranian	4.33461	Persian_cat	printer	9.99934	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000058.png	stinkhorn	10.62558	stinkhorn	mushroom	9.99137	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	-0.16944	giant_schnauzer	barrow	9.99714	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000063.png	jellyfish	-11.41133	Lhasa	poncho	9.99961	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000064.png	green_lizard	3.43459	green_lizard	quill	9.99310	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000066.png	eel	-4.66707	tree_frog	cauliflower	9.99758	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000067.png	tusker	6.20194	tusker	hook	9.99766	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000072.png	dugong	-7.78416	American_alligator	Loafer	9.99285	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000073.png	kite	-4.28056	Cardigan	jersey	9.99883	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000075.png	black_grouse	2.71331	black_grouse	barrow	9.99785	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	-8.04985	Saluki	muzzle	9.99940	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000078.png	African_hunting_dog	4.79742	African_hunting_dog	dogsled	10.00000	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000079.png	otterhound	5.25140	cocker_spaniel	panpipe	9.97322	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000082.png	Afghan_hound	-5.66410	Afghan_hound	cloak	9.99998	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000084.png	water_snake	-1.59204	alligator_lizard	chainlink_fence	9.98195	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000087.png	siamang	-6.31575	peacock	fountain	9.95023	resnet18.noise-035.00	densenet-121
ILSVRC2012_val_00000088.png	spotted_salamander	0.43996	spiny_lobster	spider_web	9.99289	resnet18.noise-035.00	densenet-121
